symbol,ts,rate
BTCUSDT,2024-01-01 00:00:00,-1.0071945708182291e-05
BTCUSDT,2024-01-01 08:00:00,-0.00018556500981889768
BTCUSDT,2024-01-01 16:00:00,0.00016755397114968554
BTCUSDT,2024-01-02 00:00:00,-0.00012192195450667955
BTCUSDT,2024-01-02 08:00:00,-4.245610154167913e-05
BTCUSDT,2024-01-02 16:00:00,-0.00011954752430971629
BTCUSDT,2024-01-03 00:00:00,-0.00019783555046606373
BTCUSDT,2024-01-03 08:00:00,5.898061049476153e-05
BTCUSDT,2024-01-03 16:00:00,-8.876124450254112e-05
BTCUSDT,2024-01-04 00:00:00,-7.241310506880708e-06
BTCUSDT,2024-01-04 08:00:00,-3.892218250432524e-05
BTCUSDT,2024-01-04 16:00:00,4.57377286213587e-05
BTCUSDT,2024-01-05 00:00:00,0.00017579706401261812
BTCUSDT,2024-01-05 08:00:00,-0.00033911967031391194
BTCUSDT,2024-01-05 16:00:00,3.9877042179987135e-05
BTCUSDT,2024-01-06 00:00:00,-0.00010138624734051905
BTCUSDT,2024-01-06 08:00:00,-4.121888317220968e-05
BTCUSDT,2024-01-06 16:00:00,-9.738804107749531e-05
BTCUSDT,2024-01-07 00:00:00,0.00018682857470683894
BTCUSDT,2024-01-07 08:00:00,0.00010911171726763735
BTCUSDT,2024-01-07 16:00:00,-6.591989984928618e-05
BTCUSDT,2024-01-08 00:00:00,-0.00022716103859663555
BTCUSDT,2024-01-08 08:00:00,0.00011538605337697424
BTCUSDT,2024-01-08 16:00:00,-0.00025962403162485033
BTCUSDT,2024-01-09 00:00:00,-0.00016964986904717002
BTCUSDT,2024-01-09 08:00:00,-5.1291841692086424e-05
BTCUSDT,2024-01-09 16:00:00,5.226120070331709e-06
BTCUSDT,2024-01-10 00:00:00,-3.4227420762427656e-05
BTCUSDT,2024-01-10 08:00:00,-0.00022913188729682804
BTCUSDT,2024-01-10 16:00:00,-0.00022636535137446603
BTCUSDT,2024-01-11 00:00:00,-0.00011915342394921272
BTCUSDT,2024-01-11 08:00:00,2.13664662687708e-06
BTCUSDT,2024-01-11 16:00:00,-6.206453531176003e-05
BTCUSDT,2024-01-12 00:00:00,3.946166580365578e-05
BTCUSDT,2024-01-12 08:00:00,-6.45621348198682e-05
BTCUSDT,2024-01-12 16:00:00,5.5569220585648505e-05
BTCUSDT,2024-01-13 00:00:00,-0.00010066481051978463
BTCUSDT,2024-01-13 08:00:00,1.1760512974996959e-05
BTCUSDT,2024-01-13 16:00:00,2.569469483773138e-05
BTCUSDT,2024-01-14 00:00:00,5.7089643370956853e-05
BTCUSDT,2024-01-14 08:00:00,0.00016725216888505783
BTCUSDT,2024-01-14 16:00:00,-0.00011021245959436703
BTCUSDT,2024-01-15 00:00:00,-0.00016393700845335869
BTCUSDT,2024-01-15 08:00:00,4.305084779695117e-05
BTCUSDT,2024-01-15 16:00:00,-6.133381733345271e-05
BTCUSDT,2024-01-16 00:00:00,7.202522577365322e-05
BTCUSDT,2024-01-16 08:00:00,0.00010639167037590098
BTCUSDT,2024-01-16 16:00:00,-1.112714529038169e-05
BTCUSDT,2024-01-17 00:00:00,0.00015894538042766603
BTCUSDT,2024-01-17 08:00:00,0.00030794306602292224
BTCUSDT,2024-01-17 16:00:00,2.7749788824733928e-05
BTCUSDT,2024-01-18 00:00:00,5.846997885209838e-05
BTCUSDT,2024-01-18 08:00:00,0.00022312547173679133
BTCUSDT,2024-01-18 16:00:00,0.0002455223971747312
BTCUSDT,2024-01-19 00:00:00,-3.7410934839567684e-05
BTCUSDT,2024-01-19 08:00:00,0.00031167842499133804
