symbol,ts,oi
BTCUSDT,2024-01-01 00:00:00,114354.9812215264
BTCUSDT,2024-01-01 00:05:00,100152.6787650442
BTCUSDT,2024-01-01 00:10:00,100222.81770804436
BTCUSDT,2024-01-01 00:15:00,100238.71153010993
BTCUSDT,2024-01-01 00:20:00,100241.92025627475
BTCUSDT,2024-01-01 00:25:00,100196.04884621112
BTCUSDT,2024-01-01 00:30:00,100168.51981180157
BTCUSDT,2024-01-01 00:35:00,100192.82132933666
BTCUSDT,2024-01-01 00:40:00,100147.31361005967
BTCUSDT,2024-01-01 00:45:00,100224.31473180727
BTCUSDT,2024-01-01 00:50:00,100258.30854195362
BTCUSDT,2024-01-01 00:55:00,100152.2299891825
BTCUSDT,2024-01-01 01:00:00,100182.14981092597
BTCUSDT,2024-01-01 01:05:00,100280.13383605509
BTCUSDT,2024-01-01 01:10:00,100239.93459851954
BTCUSDT,2024-01-01 01:15:00,100307.67053963488
BTCUSDT,2024-01-01 01:20:00,100273.56312925518
BTCUSDT,2024-01-01 01:25:00,100287.21854362907
BTCUSDT,2024-01-01 01:30:00,100324.73501104824
BTCUSDT,2024-01-01 01:35:00,100313.47717282368
BTCUSDT,2024-01-01 01:40:00,100321.75291459083
BTCUSDT,2024-01-01 01:45:00,100372.85336077107
BTCUSDT,2024-01-01 01:50:00,100382.52779595087
BTCUSDT,2024-01-01 01:55:00,100442.59911946386
BTCUSDT,2024-01-01 02:00:00,100403.09819705784
BTCUSDT,2024-01-01 02:05:00,100427.43270791708
BTCUSDT,2024-01-01 02:10:00,100408.5879517953
BTCUSDT,2024-01-01 02:15:00,100444.37751824621
BTCUSDT,2024-01-01 02:20:00,100459.39265610481
BTCUSDT,2024-01-01 02:25:00,100432.60360531586
BTCUSDT,2024-01-01 02:30:00,100395.45769638437
BTCUSDT,2024-01-01 02:35:00,100419.70874555892
BTCUSDT,2024-01-01 02:40:00,100396.09170926214
BTCUSDT,2024-01-01 02:45:00,100429.31235695221
BTCUSDT,2024-01-01 02:50:00,100397.87974877359
BTCUSDT,2024-01-01 02:55:00,100330.5998643925
BTCUSDT,2024-01-01 03:00:00,100382.0824751199
BTCUSDT,2024-01-01 03:05:00,100384.84576394562
BTCUSDT,2024-01-01 03:10:00,100433.88495073152
BTCUSDT,2024-01-01 03:15:00,100415.87962101844
BTCUSDT,2024-01-01 03:20:00,100403.27160278939
BTCUSDT,2024-01-01 03:25:00,100335.05733512239
BTCUSDT,2024-01-01 03:30:00,100359.28131964352
BTCUSDT,2024-01-01 03:35:00,100362.92689052521
BTCUSDT,2024-01-01 03:40:00,100411.93800984543
BTCUSDT,2024-01-01 03:45:00,100428.30652428976
BTCUSDT,2024-01-01 03:50:00,100433.23555194234
BTCUSDT,2024-01-01 03:55:00,100565.7280709545
BTCUSDT,2024-01-01 04:00:00,100501.08682995757
BTCUSDT,2024-01-01 04:05:00,100509.91825388338
BTCUSDT,2024-01-01 04:10:00,100411.7494519151
BTCUSDT,2024-01-01 04:15:00,100405.82885517749
BTCUSDT,2024-01-01 04:20:00,100355.97610634625
BTCUSDT,2024-01-01 04:25:00,100323.99074402032
BTCUSDT,2024-01-01 04:30:00,100262.09135143156
BTCUSDT,2024-01-01 04:35:00,100212.0619320397
BTCUSDT,2024-01-01 04:40:00,100217.6511581872
BTCUSDT,2024-01-01 04:45:00,100194.52785663005
